State/UT,pucca-building-type-schools-percentage
Andaman and Nicobar Islands,71.27882599580713
Andhra Pradesh,75.58131490549069
Arunachal Pradesh,78.2121299223915
Assam,70.25196284702622
Bihar,80.2322266283078
Chandigarh,58.78594249201278
Chhattisgarh,82.67734781025523
Dadra and Nagar Haveli,81.05849582172702
Daman and Diu,68.94409937888199
Delhi,71.34155184916607
Goa,59.150076569678404
Gujarat,73.05645852538288
Haryana,61.55359215787437
Himachal Pradesh,69.9465989669964
Jammu and Kashmir,71.94510857105426
Jharkhand,84.57026214009454
Karnataka,72.26578357013139
Kerala,77.64443682496143
Lakshadweep,73.01587301587301
Madhya Pradesh,78.74633426633719
Maharashtra,77.05873998512912
Manipur,53.2725430597771
Meghalaya,92.14340198321892
Mizoram,62.52811515969411
Nagaland,78.32596121129636
Orissa,63.08098979367061
Puducherry,69.43620178041543
Punjab,83.11880506607929
Rajasthan,75.69684262456833
Sikkim,67.93837123991196
Tamil Nadu,100.0
Tripura,77.64188801834511
Uttar Pradesh,94.16940388649897
Uttarakhand,84.57598623763538
West Bengal,85.6334051140172
