State/UT,School-drop-out-percentage
Andaman and Nicobar Islands,21.1
Andhra Pradesh,46.2
Arunachal Pradesh,61.7
Assam,77.4
Bihar,62.2
Chhattisgarh,58
Dadra and Nagar Haveli,54.7
Daman and Diu,28.3
Gujarat,57.9
Himachal Pradesh,16
Jammu and Kashmir,43.6
Jharkhand,69.5
Karnataka,43.3
Lakshadweep,31.3
Madhya Pradesh,51.1
Maharashtra,38.2
Manipur,45.3
Meghalaya,77.4
Mizoram,53.7
Nagaland,75.1
Orissa,64
Rajasthan,68.5
Sikkim,69.9
Tamil Nadu,25.9
Tripura,58.4
Uttar Pradesh,24
Uttarakhand,36.6
West Bengal,64.2
Delhi,
Chandigarh,
Punjab,
Haryana,
Kerala,
Puducherry,
Goa,
