State/UT,students-pass-percentage
Andaman and Nicobar Islands,77.4793553277217
Andhra Pradesh,79.5716603287904
Arunachal Pradesh,86.03701821401053
Assam,85.39971994112602
Bihar,88.17794457763411
Chandigarh,77.5340552150707
Chhattisgarh,84.92500761770235
Dadra and Nagar Haveli,85.77141679896263
Daman and Diu,80.76310861423221
Delhi,78.0979846183662
Goa,80.50586057988896
Gujarat,83.63559423203436
Haryana,78.77395405914255
Himachal Pradesh,76.78723020121973
Jammu and Kashmir,82.07724571595698
Jharkhand,89.96929334961982
Karnataka,80.69884214851879
Kerala,76.44716168344358
Lakshadweep,76.50172003175443
Madhya Pradesh,84.34292104462983
Maharashtra,79.77353744724725
Manipur,84.13925937269387
Meghalaya,91.03211059423222
Mizoram,84.17700450500433
Nagaland,87.32620913175599
Orissa,85.11302599152695
Puducherry,78.21107722613581
Punjab,81.83762333110728
Rajasthan,82.813673745788
Sikkim,86.56599960347154
Tamil Nadu,80.78247141175035
Tripura,82.908042728275
Uttar Pradesh,84.01930976641206
Uttarakhand,79.51443398619328
West Bengal,81.95618486395396
