State/UT,text-books-received-schools-percentage
Andaman and Nicobar Islands,84.12
Andhra Pradesh,97.83
Arunachal Pradesh,80.67
Assam,95.8
Bihar,93.12
Chandigarh,95.45
Chhattisgarh,90.86
Dadra and Nagar Haveli,98.91
Daman and Diu,86.6
Delhi,94.53
Goa,88.06
Gujarat,96.3
Haryana,96.42
Himachal Pradesh,79.86
Jammu and Kashmir,96.9
Jharkhand,94.77
Karnataka,96.87
Kerala,89.57
Lakshadweep,77.27
Madhya Pradesh,86.05
Maharashtra,97.25
Manipur,79.63
Meghalaya,92.96
Mizoram,76.88
Nagaland,80.87
Orissa,88.8
Puducherry,96.54
Punjab,94.95
Rajasthan,94.08
Sikkim,85.8
Tamil Nadu,99.13
Tripura,97.55
Uttar Pradesh,91.55
Uttarakhand,96.83
West Bengal,89
