State/UT,toilet-facility-schools-percentage
Andaman and Nicobar Islands,81.28
Andhra Pradesh,53.005
Arunachal Pradesh,66.21
Assam,81.095
Bihar,81.01
Chandigarh,98.66
Chhattisgarh,62.325
Dadra and Nagar Haveli,85.815
Daman and Diu,95.755
Delhi,100
Goa,82.175
Gujarat,96.335
Haryana,92.035
Himachal Pradesh,86.485
Jammu and Kashmir,59.56
Jharkhand,74.215
Karnataka,97.315
Kerala,79.26
Lakshadweep,68.18
Madhya Pradesh,67.7
Maharashtra,86.95
Manipur,71.335
Meghalaya,73.01
Mizoram,74.64
Nagaland,96.94
Orissa,53.985
Puducherry,96.26
Punjab,92.385
Rajasthan,90.72
Sikkim,83.24
Tamil Nadu,83.165
Tripura,67.8
Uttar Pradesh,96.4
Uttarakhand,73.87
West Bengal,74.125
