State/UT,Trained-teachers-percentage
Andhra Pradesh,91.75
Arunachal Pradesh,30.75
Assam,45.5
Bihar,92
Chhattisgarh,73
Goa,96
Gujarat,75
Haryana,100
Himachal Pradesh,100
Jammu and Kashmir,50.25
Jharkhand,
Karnataka,100
Kerala,100
Madhya Pradesh,83
Maharashtra,96.75
Manipur,39
Meghalaya,38.25
Mizoram,42.75
Nagaland,25
Orissa,92.75
Punjab,100
Rajasthan,87.25
Sikkim,55.75
Tamil Nadu,100
Tripura,79.25
Uttar Pradesh,96.75
Uttarakhand,100
West Bengal,54.5
Andaman and Nicobar Islands,98.25
Chandigarh,97.25
Dadra and Nagar Haveli,95.75
Daman and Diu,96.25
Delhi,100
Lakshadweep,100
Puducherry,98.25
